Run_ID,Geom_ShellThickness_1,Init_Velocity_X_1
Run_001,2.0,7000.0
Run_002,2.5,7000.0
Run_003,3.0,7000.0
Run_004,2.0,10000.0
Run_005,2.5,10000.0
Run_006,3.0,10000.0
Run_007,2.0,13000.0
Run_008,2.5,13000.0
Run_009,3.0,13000.0
